#"Step","Temperature (K)"
860000,295.4388509218898
880000,295.037269484463
900000,300.03396450781185
920000,297.27558279480616
940000,297.87778263599756
960000,296.93676159709565
980000,296.4307353259502
1000000,295.11788322436774
1020000,299.50073739217663
1040000,295.89701677044746
1060000,296.8103380474945
1080000,297.7882537356682
1100000,296.1346549353984
1120000,295.56754679427854
1140000,296.8159223100966
1160000,295.32410551655494
1180000,295.8410940713845
1200000,299.82807710989226
1220000,298.2938839898917
1240000,295.13916466212606
1260000,296.03508477845224
1280000,296.7708277502544
1300000,296.17391600067424
1320000,298.6140480308049
1340000,296.7216347429322
1360000,298.4987795960852
1380000,295.9410313907959
1400000,297.9974109887377
1420000,297.1003921475034
1440000,298.2612755334482
1460000,295.6954785984195
1480000,296.3396965633453
1500000,296.52981316650965
1520000,296.3324963637687
1540000,295.4913756173967
1560000,297.34192258305353
1580000,298.5073078087945
1600000,297.6659153657589
1620000,298.18827786391415
1640000,297.223590268284
1660000,297.1869971445003
1680000,296.41158384769994
1700000,299.95934400706784
1720000,295.91950041630406
1740000,296.8781856993002
1760000,297.15837354566287
1780000,297.1030294596862
1800000,297.40526944832953
1820000,297.0727405233422
1840000,295.753814669251
1860000,297.51005956028996
1880000,297.07402160382065
1900000,295.2861315493896
1920000,295.3927935573204
1940000,296.71982366679
1960000,295.63856287670717
1980000,298.03603177687603
2000000,296.7226588304803
2020000,295.12690133326316
2040000,297.71569776203467
2060000,296.3615563493212
2080000,296.6806925918531
2100000,297.5616795803283
2120000,296.373600426278
2140000,297.0835734586957
2160000,297.19671844358857
2180000,297.1194535873205
2200000,297.4106948712953
2220000,298.06414806644915
2240000,296.1952157993761
2260000,295.9199435262054
2280000,295.6135762510175
2300000,295.5428791980191
2320000,295.99035729021057
2340000,297.0663387067888
2360000,295.17759932214
2380000,296.67040710436504
2400000,295.9660059096679
2420000,297.4508181507274
2440000,298.0304879474354
2460000,296.8991071181287
2480000,295.1638719248651
2500000,297.2850561441759
2520000,297.54651197400005
2540000,296.6735818545585
2560000,297.91207401316314
2580000,296.75729680890817
2600000,296.88335006437376
2620000,296.80326633756357
2640000,297.3717642642173
2660000,295.07941193672434
2680000,298.5920052260425
2700000,297.54431617978867
2720000,295.6487749637137
2740000,296.025307060302
2760000,296.14253044099246
2780000,297.0565042386735
2800000,296.2011185422567
2820000,297.5165993484224
2840000,295.20162473972556
2860000,296.35002775776167
2880000,296.83928787228103
2900000,297.5808421378449
2920000,297.6695537660201
2940000,297.2757628155972
2960000,297.9588570434088
2980000,296.1263246904941
3000000,296.1403554466653
3020000,295.8423410052058
3040000,298.7359906570874
3060000,296.67952552788347
3080000,298.18604324231165
3100000,297.18100491968266
3120000,296.40660243134374
3140000,296.02659839267085
3160000,296.5771258255618
3180000,295.55412451590684
3200000,296.7142329367948
3220000,297.0936046528987
3240000,296.62116632907936
3260000,299.5210084058824
3280000,298.0509725144323
